NAME,Number_of_Infections
Tolna vármegye,0.4640069787
Bács-Kiskun vármegye,0.1991159253
Fejér vármegye,12.6611610517
Komárom-Esztergom vármegye,3.986777189
Budapest,17.255013095000002
Pest vármegye,4.856981178670001
Csongrád-Csanád vármegye,3.0125623855000003
Békés vármegye,0.6050668296
Jász-Nagykun-Szolnok vármegye,1.362750576
Heves vármegye,1.363228944
Hajdú-Bihar vármegye,0.1898516689
Nógrád vármegye,2.1266188884
Borsod-Abaúj-Zemplén vármegye,1.2557608027
Szabolcs-Szatmár-Bereg vármegye,0.9107003650000001
Vas vármegye,0
Baranya vármegye,1.1138679343
Zala vármegye,4.4898249343
Somogy vármegye,1.0001666944
Győr-Moson-Sopron vármegye,0.6340604598
Veszprém vármegye,3.2243219392999998
